tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
1,0.25,319950.0,47.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0
2,0.5,319949.7344196429,45.390580357142866,4.651785714285714,0.1875,0.03571428571428571,0.0,1.0527136618839676e-05,0.0006737367436057392,0,0.0,0.0,0,0,0.0,0.0,0
3,0.75,319949.2203519756,43.63511900652445,6.505976721938775,0.5296875,0.10873086734693878,0.00013392857142857144,3.934351235041765e-05,0.0024194507916743906,0,0.0,0.0,0,0,0.0,0.0,0
4,1.0,319948.4730219607,42.200693071169155,8.106841893520468,0.9987183434311224,0.2202124544460641,0.0005122767857142857,9.18960217158302e-05,0.005439786503999569,0,0.0,0.0,0,0,0.0,0.0,0
5,1.25,319947.50592834444,41.057752033793236,9.493051378014595,1.57106297317976,0.3709796235164458,0.0012256470310222302,0.00017173300079101496,0.009801701885247979,0,0.0,0.0,0,0,0.0,0.0,0
6,1.5,319946.3309761782,40.179816598424686,10.69834510666724,2.2269324346315775,0.5615818472636602,0.002347834869007773,0.0002808783610318172,0.015481067617489484,0,0.0,0.0,0,0,0.0,0.0,0
7,1.75,319944.95860019734,39.54320174926863,11.752126552064613,2.949775016394779,0.792357983999583,0.003938500893744613,0.0004201591252162451,0.022395527511377595,0,0.0,0.0,0,0,0.0,0.0,0
8,2.0,319943.3978793399,39.12676251936301,12.679989625950848,3.725835400071239,1.063487631745752,0.0060454830483123115,0.0005894860702366227,0.030428381093361177,0,0.0,0.0,0,0,0.0,0.0,0
9,2.25,319941.65664272924,38.91166100397408,13.504185821030527,4.543769072015007,1.3750345796904004,0.008706794048363196,0.0007880897013534823,0.039445635632808014,0,0.0,0.0,0,0,0.0,0.0,0
10,2.5,319939.74156749336,38.881153189631156,14.244037994351507,5.394305541734619,1.7269834375113622,0.011952343385516775,0.0010147152952760523,0.04930790045497835,0,0.0,0.0,0,0,0.0,0.0,0
11,2.75,319937.6582688075,39.02039421604038,14.916306547194534,6.269954621963317,2.119270388534238,0.015805418772470072,0.0012677815124270354,0.05987842405295497,0,0.0,0.0,0,0,0.0,0.0,0
12,3.0,319935.4113825706,39.31626074218868,15.535513173425615,7.164750662218501,2.5518088938343038,0.020283957788158155,0.001545507316437635,0.0710282802720099,0,0.0,0.0,0,0,0.0,0.0,0
13,3.25,319933.0046411281,39.757189147518666,16.114226820050618,8.074030198003337,3.024511069489461,0.025401636832599942,0.0018460118317293616,0.0826394770180544,0,0.0,0.0,0,0,0.0,0.0,0
14,3.5,319930.440942456,40.333028362268216,16.663316025636323,8.994238988149869,3.5373053667060144,0.03116880125974518,0.0021673914544097644,0.09460657721253851,0,0.0,0.0,0,0,0.0,0.0,0
15,3.75,319927.7224132138,41.034906186394906,17.192171370032206,9.922764869067239,4.090151103086065,0.037593257679852235,0.0025077781056013636,0.10683727748709292,0,0.0,0.0,0,0,0.0,0.0,0
16,4.0,319924.85046606814,41.85510802269767,17.708901378456215,10.857793262210109,4.683050321646735,0.04468094687204312,0.002865382046661642,0.11925227766095636,0,0.0,0.0,0,0,0.0,0.0,0
17,4.25,319921.8258516739,42.78696701579703,18.22050487080037,11.798182534801107,5.316057391230606,0.05243651348790748,0.003238522205831658,0.13178468705164367,0,0.0,0.0,0,0,0.0,0.0,0
18,4.5,319918.64870568516,43.8247646537435,18.73302242955447,12.74335673815395,5.989286706674365,0.06086378672705113,0.0036256465217894187,0.14437914693556986,0,0.0,0.0,0,0,0.0,0.0,0
19,4.75,319915.3185911537,44.963640952561335,19.251669373888564,13.69321353686504,6.702918798646246,0.06996618439716111,0.004025344405518876,0.15699079773739055,0,0.0,0.0,0,0,0.0,0.0,0
20,5.0,319911.83453665307,46.19951340552722,19.78095237027658,14.64804539930436,7.457205120634931,0.07974705120920755,0.004436353063956946,0.1695841813135231,0,0.0,0.0,0,0,0.0,0.0,0
