scenario,genome,w_social,seed,silent_phase_days,day_50pct_panic,day_90pct_panic,tip_sharpness_days,peak_infection_day,peak_infection_height,attack_rate,total_dead,infra_collapse_day,authority_alarm_day
baseline,baseline,0.2,0,33.0,49.75,63.0,30.0,120.0,10561.327802362028,0.24435073208461222,1009.0926658071485,51.5,65.25
baseline,baseline,0.4,0,30.5,46.5,59.5,29.0,120.0,9277.67175579437,0.20356040077765888,824.2371838471696,48.25,71.0
baseline,baseline,0.6,0,27.75,42.75,55.25,27.5,120.0,7692.160170791035,0.1585123836083839,625.8431889825613,44.75,84.75
baseline,baseline,0.8,0,24.0,36.75,48.25,24.25,120.0,5291.1360991112,0.1031378191974158,396.8853224980012,39.25,106.5
baseline,baseline,1.0,0,19.25,27.75,32.5,13.25,120.0,2894.8392078503202,0.05441966579876756,205.47503521449178,28.75,
baseline,baseline,1.2,0,14.75,18.75,21.0,6.25,120.0,1915.5144444168518,0.035616326771899735,133.63622343891396,19.25,
fast_hot,fast_hot,0.2,0,19.75,29.75,35.75,16.0,66.5,51082.981315449695,0.8541495722627772,4534.631981304777,30.5,34.5
fast_hot,fast_hot,0.4,0,18.5,28.25,35.5,17.0,68.0,51067.04560342416,0.8532914146950858,4522.461915540982,29.25,35.25
fast_hot,fast_hot,0.6,0,17.5,26.75,34.75,17.25,70.5,50942.31283505197,0.8519456464608173,4502.638138509783,27.5,36.5
fast_hot,fast_hot,0.8,0,15.75,24.25,31.75,16.0,73.75,50630.83751008217,0.8496143090318007,4466.723160321705,25.5,38.75
fast_hot,fast_hot,1.0,0,14.0,20.5,26.0,12.0,78.5,50080.7766673958,0.8455191205474074,4400.853190391341,21.75,42.75
fast_hot,fast_hot,1.2,0,11.75,16.25,18.75,7.0,82.5,49545.60992571034,0.8408113229379962,4325.349034556501,16.75,46.75
slow_silent,slow_silent,0.2,0,68.25,104.5,,,120.0,1849.7517563920676,0.03875868263969059,134.57013769581997,108.75,
slow_silent,slow_silent,0.4,0,62.75,95.75,,,120.0,1337.6383194201367,0.030401335575504892,111.71216090824295,100.75,
slow_silent,slow_silent,0.6,0,55.5,83.0,106.0,50.5,108.75,737.020328359341,0.019895074733717055,80.14644344925634,87.75,
slow_silent,slow_silent,0.8,0,45.0,67.25,83.5,38.5,85.75,295.6918373151888,0.009710814688136999,42.59210229954884,71.25,
slow_silent,slow_silent,1.0,0,30.25,38.75,44.0,13.75,44.0,89.12712111541036,0.0033468240992160663,15.651116182476617,39.5,
slow_silent,slow_silent,1.2,0,18.75,21.75,24.0,5.25,27.25,50.63711269504441,0.0019377497776842563,9.190743855343857,22.5,
